path	bytes	lines	class	audit_status	flags
demo/userland/flow-php/src/StreamingSink.php	35181	1251	source	manual_audit_required	security,reconnect
demo/userland/flow-php/src/StreamingSource.php	24594	850	source	manual_audit_required	
demo/video-chat/.env	719	22	config	manual_audit_required	sfu,gossip
demo/video-chat/.env.local	1649	28	other	manual_audit_required	sfu
demo/video-chat/backend-king-php/.local/email-outbox.log	71177	1430	generated:local-runtime	generated_or_vendor_ignore_for_dead_code	
demo/video-chat/backend-king-php/Dockerfile	2138	65	other	manual_audit_required	sfu
demo/video-chat/backend-king-php/domain/audit/audit_events.php	30456	734	source	low_signal_inventory_only	
demo/video-chat/backend-king-php/domain/audit/iam_audit_events.php	9427	227	source	low_signal_inventory_only	
demo/video-chat/backend-king-php/domain/call_apps/call_app_availability.php	9050	264	source	manual_audit_required	fallback
demo/video-chat/backend-king-php/domain/call_apps/call_app_call_subjects.php	4340	137	source	low_signal_inventory_only	
demo/video-chat/backend-king-php/domain/call_apps/call_app_crdt.php	19826	461	source	manual_audit_required	fallback
demo/video-chat/backend-king-php/domain/call_apps/call_app_diagnostics.php	18891	396	source	manual_audit_required	fallback
demo/video-chat/backend-king-php/domain/call_apps/call_app_launch_token_retirement.php	1419	40	source	low_signal_inventory_only	
demo/video-chat/backend-king-php/domain/call_apps/call_app_launch_tokens.php	21766	533	source	manual_audit_required	capabilities
demo/video-chat/backend-king-php/domain/call_apps/call_app_marketplace_entitlements.php	32567	797	source	manual_audit_required	capabilities,fallback
demo/video-chat/backend-king-php/domain/call_apps/call_app_mcp_metadata.php	19450	467	source	manual_audit_required	capabilities
demo/video-chat/backend-king-php/domain/call_apps/call_app_semantic_dns.php	27538	748	source	manual_audit_required	capabilities
demo/video-chat/backend-king-php/domain/call_apps/call_app_session_lifecycle.php	3403	91	source	low_signal_inventory_only	
demo/video-chat/backend-king-php/domain/call_apps/call_app_sessions.php	35214	844	source	manual_audit_required	reconnect,capabilities
demo/video-chat/backend-king-php/domain/calls/appointment_calendar.php	20999	552	source	low_signal_inventory_only	
demo/video-chat/backend-king-php/domain/calls/appointment_calendar_booking.php	16836	381	source	low_signal_inventory_only	
demo/video-chat/backend-king-php/domain/calls/appointment_calendar_mail.php	11799	285	source	low_signal_inventory_only	
demo/video-chat/backend-king-php/domain/calls/appointment_calendar_settings.php	17837	435	source	low_signal_inventory_only	
demo/video-chat/backend-king-php/domain/calls/call_access.php	460	12	source	low_signal_inventory_only	
demo/video-chat/backend-king-php/domain/calls/call_access_account_confirmation.php	40551	1031	source	manual_audit_required	fallback
demo/video-chat/backend-king-php/domain/calls/call_access_calendar_guards.php	1073	39	source	low_signal_inventory_only	
demo/video-chat/backend-king-php/domain/calls/call_access_contract.php	27258	835	source	manual_audit_required	security
demo/video-chat/backend-king-php/domain/calls/call_access_decision.php	8794	279	source	low_signal_inventory_only	
demo/video-chat/backend-king-php/domain/calls/call_access_links.php	18217	574	source	low_signal_inventory_only	
demo/video-chat/backend-king-php/domain/calls/call_access_public.php	6893	204	source	low_signal_inventory_only	
demo/video-chat/backend-king-php/domain/calls/call_access_review.php	20537	554	source	low_signal_inventory_only	
demo/video-chat/backend-king-php/domain/calls/call_access_session.php	26215	701	source	low_signal_inventory_only	
demo/video-chat/backend-king-php/domain/calls/call_directory.php	10092	314	source	low_signal_inventory_only	
demo/video-chat/backend-king-php/domain/calls/call_guest_lifecycle.php	7050	224	source	low_signal_inventory_only	
demo/video-chat/backend-king-php/domain/calls/call_guest_list_audit.php	7234	198	source	low_signal_inventory_only	
demo/video-chat/backend-king-php/domain/calls/call_lifecycle.php	10974	324	source	low_signal_inventory_only	
demo/video-chat/backend-king-php/domain/calls/call_management.php	470	12	source	low_signal_inventory_only	
demo/video-chat/backend-king-php/domain/calls/call_management_cancel.php	19185	605	source	low_signal_inventory_only	
demo/video-chat/backend-king-php/domain/calls/call_management_contract.php	14085	452	source	manual_audit_required	fallback
demo/video-chat/backend-king-php/domain/calls/call_management_create.php	12236	321	source	low_signal_inventory_only	
demo/video-chat/backend-king-php/domain/calls/call_management_guest_list.php	4298	154	source	manual_audit_required	fallback
demo/video-chat/backend-king-php/domain/calls/call_management_owner_transfer.php	15833	479	source	low_signal_inventory_only	
demo/video-chat/backend-king-php/domain/calls/call_management_query.php	24574	726	source	manual_audit_required	fallback
demo/video-chat/backend-king-php/domain/calls/call_management_update.php	28719	678	source	low_signal_inventory_only	
demo/video-chat/backend-king-php/domain/calls/invite_code_contract.php	7873	287	source	low_signal_inventory_only	
demo/video-chat/backend-king-php/domain/calls/invite_codes.php	22748	708	source	low_signal_inventory_only	
demo/video-chat/backend-king-php/domain/infrastructure/infrastructure_inventory.php	24773	650	source	manual_audit_required	sfu,capabilities,orchestrator,fallback,keyframe_delta
demo/video-chat/backend-king-php/domain/localization/email_templates.php	3313	88	source	manual_audit_required	fallback
demo/video-chat/backend-king-php/domain/localization/translation_imports.php	22803	608	source	manual_audit_required	fallback
demo/video-chat/backend-king-php/domain/marketplace/call_app_marketplace.php	17313	488	source	manual_audit_required	fallback
demo/video-chat/backend-king-php/domain/operations/video_operations.php	17688	489	source	manual_audit_required	sfu,gossip
