path	bytes	lines	class	flags	audit_status
demo/video-chat/frontend-vue/tests/contract/bgf-production-browser-smoke-contract.mjs	14539	178	test	sfu,background,reconnect,quality,fallback	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/sfu/receiverFeedback.ts	7679	175	source	sfu,backpressure,quality,fallback,repair,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/workspace/callWorkspace/gossipRecoveryState.ts	6575	174	source	gossip,repair,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/sfu-origin-room-binding-contract.mjs	16778	173	test	sfu,gossip,security,reconnect,backpressure,capabilities,fallback,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/local/publisherReadbackBudgetBenchmark.ts	5940	167	source	quality,capabilities,fallback	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/iam-local-run-docs-contract.mjs	7662	165	test	sfu,gossip,background,security,reconnect,fallback	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/call-access-ci-artifacts-contract.mjs	7428	165	test	sfu,gossip,background,security,reconnect	manual_audit_required
demo/video-chat/contracts/v1/e2ee-session.contract.json	7278	165	contract	security,reconnect,capabilities,fallback	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/wlvc-wasm-config-surface-contract.mjs	8437	161	test	background,reconnect,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/src/lib/gossipmesh/gossipLanes.ts	3818	158	source	sfu,gossip,backpressure,repair,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/call-access-owner-transfer-remaining-extract-contract.mjs	8580	158	test	sfu,background,reconnect,fallback	manual_audit_required
demo/video-chat/backend-king-php/domain/realtime/realtime_sfu_session_protocol.php	5609	157	source	sfu,capabilities,fallback,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/sfu-auto-readback-downgrade-contract.mjs	6693	153	test	sfu,reconnect,backpressure,repair	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/call-access-temp-access-remaining-extract-contract.mjs	9266	151	test	sfu,gossip,background,security	manual_audit_required
demo/video-chat/backend-king-php/domain/realtime/realtime_gossipmesh_recovery.php	6421	147	source	gossip,security,repair,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/src/lib/sfu/sessionProtocol.ts	4693	146	source	sfu,capabilities,fallback,keyframe_delta	manual_audit_required
demo/video-chat/backend-king-php/tests/admin-infrastructure-contract.php	7397	145	test	sfu,capabilities,fallback	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/local/publisherVideoFrameSource.ts	4485	145	source	capabilities,fallback,repair	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/sfu-video-recovery-timing-contract.mjs	15302	142	test	sfu,reconnect,backpressure,fallback,repair,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/gossip-local-5-peer-network-harness-contract.mjs	5323	140	test	gossip,reconnect,repair	manual_audit_required
demo/video-chat/backend-king-php/http/module_realtime_media_fanout_guard.php	4332	136	source	sfu,gossip,security,fallback	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/sfu/wlvcFrameMetadata.ts	5315	136	source	sfu,fallback,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/src/lib/sfu/sfuTypes.ts	3767	135	source	sfu,background,reconnect,backpressure,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/gossip-media-carrier-contract.mjs	7377	133	test	sfu,gossip,backpressure,fallback,repair,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/src/lib/sfu/outboundFrameBudget.ts	5175	133	source	sfu,backpressure,repair,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/src/lib/sfu/sfuClientTransportSample.ts	7835	133	source	sfu,backpressure,quality,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/gossip-outbound-live-publication-contract.mjs	8363	133	test	sfu,gossip,security,repair	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/call-layout-sidebar-controls-contract.mjs	10348	133	test	sfu,background,quality	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/gossip-harness-faults-contract.mjs	5466	132	test	gossip,reconnect,regression	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/sfu-portrait-aspect-preservation-contract.mjs	8494	132	test	sfu,quality,fallback	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/sfu-transport-metrics-contract.mjs	11391	132	test	sfu,backpressure,quality	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/sfu-gossip-planning-cfh-contract.mjs	7024	131	test	sfu,gossip,security,reconnect,backpressure,repair,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/sfu-high-motion-readback-budget-contract.mjs	7091	129	test	sfu,backpressure,quality,capabilities,fallback	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/sfu/remoteJitterBuffer.ts	5401	127	source	sfu,gossip,fallback,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/call-access-invalid-expired-anonymous-link-contract.mjs	6559	127	test	sfu,gossip,background,security	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/sfu-fullscreen-render-scheduler-contract.mjs	8909	126	test	sfu,backpressure,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/sfu-diagnostic-surface-contract.mjs	7777	125	test	sfu,backpressure,quality	manual_audit_required
demo/video-chat/frontend-vue/package.json	27022	123	config	sfu,gossip,background,security,reconnect,backpressure,quality,regression,capabilities,fallback,repair,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/gossip-primary-health-gate-contract.mjs	5404	123	test	sfu,gossip,backpressure,fallback,repair,keyframe_delta	manual_audit_required
demo/video-chat/contracts/v1/protected-media-frame.contract.json	4782	123	contract	security,capabilities,fallback,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/gossip-sfu-baseline-rollout-gate-contract.mjs	6291	121	test	sfu,gossip,security,backpressure,repair,keyframe_delta	manual_audit_required
demo/video-chat/backend-king-php/http/module_realtime.php	3865	121	source	sfu,gossip,reconnect	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/sfu/adaptiveQualityLayers.ts	4591	118	source	sfu,quality,fallback	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/asset-cache-busting-contract.mjs	11236	117	test	sfu,reconnect,repair	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/frontend-translation-key-coverage-contract.mjs	4710	116	test	sfu,gossip,fallback	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/workspace/callWorkspace/mediaSecurityTargets.ts	4720	113	source	sfu,security,capabilities	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/call-access-foreign-link-review-audit-contract.mjs	6103	110	test	sfu,gossip,background,security	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/background-filter-mask-contract.mjs	9204	110	test	background,reconnect,fallback	manual_audit_required
